id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
6_2033,21,1677,46,761,517,368,775,615,853,329,321,240,553
6_2034,24,1614,54,726,531,373,895,700,919,323,328,280,535
6_2035,20,1694,70,795,555,426,1022,836,1007,374,367,367,565
6_2036,20,1687,65,792,555,402,977,768,990,374,366,302,582
6_2037,20,1667,52,769,546,398,888,634,897,336,351,275,556
6_2038,21,1572,46,734,519,357,811,639,869,306,303,271,547
6_2039,23,1599,57,738,513,355,897,727,941,368,342,293,556
6_2040,20,1647,51,735,536,383,849,662,892,337,322,264,558
6_2041,20,1667,59,741,546,415,900,719,943,383,360,286,570
6_2042,20,1627,46,755,528,368,807,623,880,337,312,256,571
6_2043,20,1649,63,740,546,377,920,719,968,379,370,310,579
6_2044,20,1579,55,700,539,384,940,741,910,322,322,302,587
6_2045,24,1594,53,731,519,375,895,708,894,334,338,280,576
6_2046,20,1654,49,760,545,361,826,660,878,321,301,270,564
6_2047,24,1552,57,684,497,359,902,745,952,352,358,323,595
6_2048,24,1634,50,722,526,366,840,643,902,327,314,253,568
6_2049,21,1554,50,688,509,369,846,661,916,343,332,278,576
6_2050,28,1527,60,665,513,359,905,784,958,383,371,317,581
6_2051,23,1544,46,694,522,332,834,669,839,322,317,288,574
6_2052,24,1674,50,770,561,388,826,663,907,329,325,263,576
6_2053,20,1702,54,775,590,408,860,666,926,349,337,283,603
6_2054,20,1567,50,712,537,359,864,727,867,343,333,283,577
6_2055,24,1664,49,766,561,354,834,624,875,324,325,244,546
6_2056,22,1624,42,770,551,379,801,610,836,313,303,251,619
6_2057,22,1522,52,677,519,345,865,728,926,347,344,291,591
6_2058,21,1582,45,696,485,370,778,583,861,334,323,251,567
6_2059,23,1579,59,716,544,352,858,714,965,372,393,296,582
6_2060,23,1607,48,731,538,379,872,633,886,312,315,256,595
6_2061,23,1659,47,784,557,365,809,637,866,331,313,250,592
6_2062,22,1572,47,699,519,368,831,635,859,337,306,283,585
6_2064,21,1649,54,734,532,371,844,657,908,342,342,257,569
6_2065,20,1662,79,711,549,420,1064,876,1052,397,405,359,585
6_2066,20,1544,67,707,532,407,1010,889,1010,341,366,326,569
6_2067,23,1589,54,709,528,367,889,693,924,355,346,300,579
6_2068,22,1587,47,683,512,367,860,672,907,315,324,254,596
6_2069,26,1582,70,702,509,385,1014,861,1014,374,361,334,586
6_2070,27,1604,51,732,539,367,819,654,891,339,330,275,594
6_2071,26,1649,60,732,558,405,916,695,986,352,364,294,617
6_2072,29,1624,56,720,541,366,882,686,905,345,375,300,553
6_2073,28,1567,44,706,517,365,798,622,849,328,320,238,585
6_2074,31,1579,43,727,502,370,784,658,855,319,299,260,575
6_2075,29,1529,49,680,485,369,822,668,888,348,346,279,575
6_2076,26,1719,57,774,558,389,867,668,953,366,335,305,558
6_2078,25,1547,54,680,515,376,927,683,897,351,346,285,614
6_2079,25,1684,58,702,520,380,851,614,954,406,342,314,558
6_2080,28,1577,67,698,492,384,960,804,1004,390,383,368,585
6_2081,25,1614,43,748,531,382,797,614,826,309,302,235,603
6_2082,29,1624,54,723,516,366,874,690,904,356,334,285,584
6_2083,26,1619,56,713,559,362,885,682,947,360,349,289,602
6_2084,28,1589,54,686,513,378,831,695,925,348,340,287,571
6_2085,27,1632,50,735,525,347,839,640,872,341,333,263,576
6_2086,25,1587,58,704,531,366,879,731,954,361,369,295,563
6_2087,26,1624,57,708,538,388,880,692,967,351,355,291,581
6_2088,27,1607,55,720,517,354,849,687,937,358,351,306,586
6_2089,25,1599,50,726,528,379,822,628,893,343,337,263,560
6_2090,25,1619,57,750,544,386,906,721,958,367,332,278,551
6_2091,29,1629,48,750,561,354,828,631,888,320,316,266,565
6_2092,22,1669,49,760,555,393,830,658,882,310,313,268,584
6_2093,22,1622,53,729,533,356,811,675,938,358,324,260,606
6_2094,21,1627,48,760,569,390,834,674,879,333,314,267,579
6_2096,28,1672,61,735,537,418,896,726,955,357,340,325,554
6_2097,26,1677,62,738,537,367,906,738,984,385,351,277,574
6_2098,26,1569,45,711,534,358,815,629,827,343,329,237,572
6_2099,29,1624,58,701,551,369,901,729,959,360,339,287,554
6_2100,26,1579,56,716,503,388,888,727,898,357,351,277,557
6_2101,27,1556,47,693,495,377,894,656,863,319,304,270,558
6_2102,21,1557,59,645,498,362,899,700,976,398,378,289,555
6_2103,29,1552,46,676,495,326,822,641,874,338,331,238,549
6_2104,25,1629,48,730,524,380,837,592,850,327,315,251,576
6_2115,28,1589,54,696,516,386,894,677,929,348,347,281,557
6_2115,28,1589,54,696,516,386,894,677,929,348,347,281,557
6_2116,25,1537,43,725,509,347,780,579,824,316,308,249,538
6_2116,25,1537,43,725,509,347,780,579,824,316,308,249,538
