id,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue,type
3D-12-1122,40,159,51,72,67,16,33,50,51,39,88,35,69,58,56,18,225,40avgf
3D-12-1123,40,161,49,71,62,17,31,51,51,40,87,35,68,61,57,19,217,40avgf
3D-12-1124,40,148,54,85,81,16,36,49,54,38,91,38,63,56,53,18,258,40btf
3D-12-1125,40,160,67,87,82,17,38,53,63,40,101,37,71,60,56,19,273,40qf
3D-12-1126,40,158,57,82,76,17,33,51,57,41,94,40,70,58,54,19,255,40avgf
3D-12-1127,40,157,62,89,85,18,36,52,56,40,97,39,66,59,56,19,275,40qf
3D-12-1128,40,155,54,78,73,16,33,51,55,38,91,37,68,55,55,16,242,40avgf
3D-12-1129,40,162,55,81,78,17,36,51,53,42,89,37,71,58,56,18,251,40avgf
3D-12-1130,40,167,52,72,71,14,32,52,52,39,87,33,73,61,58,19,228,40qf
3D-12-1131,40,161,58,83,78,17,34,53,55,39,92,36,70,57,56,18,255,40qf
3D-12-1132,40,153,62,89,85,17,36,49,62,39,102,38,66,55,55,17,274,40avgf
3D-12-1133,40,156,53,79,74,16,34,51,55,39,90,35,68,58,54,19,241,40avgf
3D-12-1134,40,162,52,79,74,15,32,52,51,38,90,35,73,58,58,18,240,40qf
3D-12-1135,40,165,59,80,72,17,31,54,56,38,94,37,74,60,56,19,248,40qf
3D-12-1136,40,156,45,71,67,15,31,48,51,36,87,34,67,56,55,17,217,40avgf
3D-12-1137,40,158,50,76,70,16,33,48,51,39,87,34,66,59,56,19,230,40avgf
3D-12-1138,40,150,52,75,71,15,34,48,55,40,90,37,63,57,54,19,235,40avgf
3D-12-1139,40,163,74,93,89,18,40,53,64,44,105,42,72,57,55,17,298,40qf
3D-12-1140,40,154,54,82,76,16,33,50,54,37,95,38,67,58,53,20,250,40avgf
3D-12-1141,40,164,55,78,73,16,31,51,55,40,91,33,72,61,56,19,239,40avgf
3D-12-1142,40,162,66,89,82,18,35,52,59,41,97,39,69,58,57,19,276,40qf
3D-12-1143,40,164,60,81,75,17,34,54,57,43,95,37,73,60,56,19,253,40qf
3D-12-1144,40,157,51,75,70,15,33,50,52,38,87,35,68,55,57,16,231,40avgf
3D-12-1150,40,161,67,86,83,18,38,54,59,42,100,43,70,59,58,19,279,40qf
3D-12-1151,50,162,55,80,77,17,33,51,54,38,90,36,70,59,54,18,248,50avgf
3D-12-1152,40,163,56,77,71,17,32,51,55,43,92,37,72,58,55,18,241,40avgf
3D-12-1153,40,159,56,79,74,16,33,51,57,38,93,37,69,58,56,19,246,40avgf
3D-12-1154,40,157,69,91,85,17,37,53,63,41,98,42,69,57,54,18,287,40qf
3D-12-1155,40,165,89,110,108,19,41,54,67,41,107,45,72,58,57,18,352,40qf
3D-12-1156,40,155,58,90,82,17,33,50,58,37,96,39,68,54,54,16,269,40btf
3D-12-1157,40,163,56,78,69,17,34,52,56,40,91,37,70,59,55,20,240,40qf
3D-12-1158,50,155,47,76,72,16,31,50,51,38,87,35,70,57,53,20,230,50avgf
3D-12-1159,40,162,54,79,69,15,32,53,55,41,90,35,72,59,56,21,237,40qf
3D-12-1160,40,155,51,76,71,16,33,51,55,39,89,36,68,58,54,20,234,40avgf
3D-12-1161,50,150,57,86,81,17,34,47,58,38,98,35,64,55,54,18,259,50avgf
3D-12-1162,40,164,63,89,85,17,36,54,55,42,95,40,71,62,56,20,277,40qf
3D-12-1163,40,159,47,71,68,16,32,50,47,40,87,32,69,59,56,21,218,40avgf
3D-12-1164,40,158,54,81,75,16,34,52,53,39,91,37,72,56,54,18,247,40qf
3D-12-1165,40,157,79,105,99,17,36,52,69,38,109,42,66,57,56,19,325,40qf
3D-12-1166,40,155,55,82,79,16,32,49,56,41,95,36,66,57,55,19,252,40avgf
3D-12-1167,40,158,64,87,81,17,35,49,60,40,96,36,68,57,57,18,268,40avgf
3D-12-1177,40,160,70,89,86,17,37,54,63,43,102,42,70,58,56,18,287,40qf
3D-12-1178,40,159,63,86,82,16,36,53,57,41,98,41,69,60,57,19,272,40qf
3D-12-1179,40,154,58,88,84,16,34,50,58,38,95,38,66,56,54,17,268,40btf
