age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
23,177,76,90,85,17,39,59,58,48,99,44,81,63,62,19,219
24,178,69,82,76,17,35,59,57,44,96,43,84,62,57,22,201
22,166,60,76,75,16,36,54,55,43,91,41,76,59,60,18,192
22,169,70,84,82,17,37,56,61,49,97,43,76,60,60,22,209
24,178,63,74,72,17,37,57,53,47,92,44,83,64,58,17,190
22,175,69,83,79,17,35,57,59,43,98,44,77,66,60,21,206
22,170,68,82,81,18,34,56,56,46,94,44,75,62,59,18,207
23,171,58,76,72,16,33,57,52,41,90,42,80,59,57,17,190
20,179,84,83,80,19,39,60,61,45,103,47,82,63,61,19,210
21,166,62,81,77,16,36,56,56,43,92,41,76,58,61,16,199
24,168,62,84,80,16,35,58,56,44,95,43,80,59,57,19,207
22,177,66,79,77,17,37,61,56,45,93,43,82,61,59,15,199
24,180,69,83,78,17,36,58,55,49,96,42,82,66,59,20,203
23,173,70,80,77,17,36,56,57,42,95,45,76,65,59,20,202
22,163,55,76,74,15,34,55,54,41,89,41,75,58,57,17,191
23,172,74,83,79,18,38,57,60,46,99,48,73,67,59,20,210
24,176,60,74,89,17,34,57,52,48,87,41,82,63,57,18,204
20,177,78,89,85,18,39,58,59,48,100,45,80,63,63,18,219
29,172,68,76,74,17,36,57,55,45,92,47,76,63,58,18,197
27,173,68,84,81,16,36,57,57,46,97,44,78,62,58,18,209
26,179,67,78,75,17,37,57,53,47,90,47,82,64,59,17,200
26,162,55,78,72,17,34,54,52,41,87,38,72,58,58,17,188
27,180,69,84,80,17,35,61,55,46,95,45,86,62,62,18,209
28,174,74,87,82,17,37,57,59,47,102,45,77,64,60,18,214
25,176,61,76,70,17,33,57,51,44,91,41,79,62,60,17,187
28,162,87,113,112,18,41,53,64,48,105,48,70,61,62,17,273
26,170,61,80,77,17,37,59,53,46,92,41,81,57,57,15,198
29,170,76,93,102,19,39,56,65,44,100,47,73,64,60,18,242
28,170,68,81,80,17,37,54,60,45,88,45,76,62,57,21,206
29,166,69,89,87,17,40,57,59,44,95,48,75,61,59,18,224
28,174,78,94,88,17,38,59,63,47,101,45,79,59,58,20,227
29,171,76,84,84,18,38,57,68,52,98,44,77,63,59,21,212
28,164,81,94,93,20,41,51,72,45,101,47,72,61,61,21,234
29,172,75,84,83,18,40,57,60,47,98,45,78,63,61,19,212
