,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,shoulderDegree,bodyvalue,type
697,37,130,30,62,61,12,29,44,45,35,71,36,57,23,55,22,25,189,30avgm
698,34,164,59,75,74,16,36,56,55,43,90,31,75,25,60,26,23,239,30sqm
699,32,146,44,72,70,14,33,49,52,39,82,37,66,29,55,23,32,223,30avgm
700,42,153,64,90,88,16,34,52,62,39,94,36,70,28,54,27,21,278,40avgm
701,23,159,46,67,63,15,32,54,49,36,83,32,74,24,55,28,31,208,20avgm
702,23,164,56,70,67,15,33,54,54,31,89,29,74,22,55,27,26,222,20avgm
703,25,162,54,75,71,16,32,54,57,42,89,35,72,25,57,27,34,235,20avgm
704,25,157,49,73,70,15,32,55,51,38,82,34,72,25,55,25,26,226,20avgm
705,27,159,66,85,84,18,40,56,56,41,95,27,70,21,57,28,28,262,20avgm
706,24,160,55,78,72,16,34,57,58,40,87,33,74,25,57,25,29,238,20avgm
707,27,162,59,81,76,16,33,55,57,42,91,29,73,20,56,29,25,245,20avgm
708,27,129,28,59,59,11,27,45,42,33,68,34,58,23,54,22,30,180,20qm
709,23,174,83,94,92,18,40,57,67,43,99,43,75,29,58,32,26,312,20avgm
710,28,144,46,82,74,15,32,51,54,33,82,35,66,24,54,25,19,237,20avgm
711,64,143,46,81,77,14,34,50,55,37,86,43,66,27,56,24,26,247,60sqm
712,61,170,75,94,92,16,37,57,62,43,99,34,74,25,56,29,26,295,60avgm
713,61,128,27,60,58,12,28,43,40,33,67,27,59,21,52,19,20,172,60sqm
714,33,180,63,74,73,17,36,60,51,44,88,28,80,23,59,29,26,238,30avgm
715,65,167,57,76,73,14,34,56,54,41,93,29,76,20,56,27,30,235,60sqm
716,35,163,46,66,62,14,30,57,47,39,84,27,77,20,56,26,31,201,30avgm
717,24,174,57,70,68,16,35,60,50,40,87,36,79,29,56,25,24,231,20avgm
718,24,128,25,55,54,13,26,43,38,30,64,26,57,19,53,22,24,160,20qm
719,26,141,37,67,66,13,30,47,46,37,78,32,62,22,56,23,29,202,20avgm
720,24,142,36,68,64,13,29,48,45,35,76,40,65,26,57,23,30,208,20avgm
721,58,175,66,78,76,16,35,60,55,41,94,32,79,24,57,28,29,252,50avgm
722,39,167,62,77,74,15,35,58,61,43,95,32,74,23,59,27,29,245,30avgm
723,32,132,26,54,53,12,28,46,38,33,64,28,63,19,51,20,27,161,30avgm
724,37,149,68,96,91,16,35,51,68,38,98,31,66,23,54,29,20,286,30bqm
725,23,145,39,67,65,14,30,49,47,35,77,37,68,28,56,24,27,208,20avgm
726,31,146,41,71,71,14,30,51,47,37,77,29,69,21,54,24,23,212,30avgm
727,37,171,57,72,66,16,35,56,51,46,89,30,76,21,57,29,29,225,30avgm
728,40,176,69,76,73,16,37,59,58,44,97,33,81,25,58,28,31,251,40avgm
729,51,175,66,76,74,15,36,60,60,44,95,35,80,25,56,28,30,251,50avgm
730,38,163,56,69,69,15,36,56,51,42,88,33,75,24,56,25,29,227,30avgm
731,31,181,60,73,71,16,33,64,53,39,91,30,87,22,58,25,25,234,30avgm
732,31,168,54,72,70,15,34,57,50,43,87,31,76,20,54,27,31,227,30avgm
733,37,164,66,85,84,17,37,56,55,43,96,37,69,26,57,29,27,272,30bqm
734,31,151,44,73,68,14,32,50,51,40,81,35,70,24,56,24,32,220,30avgm
735,32,165,76,91,91,16,39,57,66,42,103,29,72,21,59,27,30,287,30bqm
736,32,144,44,77,74,15,32,49,52,36,81,27,65,22,54,25,26,222,30avgm
737,61,135,40,74,74,15,31,44,50,32,77,34,61,23,57,22,24,222,60sqm
738,52,151,62,89,88,16,37,53,60,37,92,30,68,22,58,26,25,269,50qm
739,62,145,40,66,62,14,30,50,47,39,77,26,67,20,57,24,28,194,60sqm
740,52,139,45,78,74,15,33,46,53,34,81,42,62,29,56,23,25,239,50avgm
741,31,141,34,61,60,14,28,47,44,34,72,37,66,28,55,23,27,192,30avgm
742,31,129,26,58,56,12,27,45,39,32,65,38,59,28,54,19,28,178,30avgm
743,30,165,66,89,84,16,39,56,55,44,92,40,71,31,55,30,27,279,30avgm
744,35,128,30,63,61,14,31,42,45,32,70,39,56,29,54,21,28,193,30avgm
745,49,171,63,74,72,16,36,61,56,45,94,34,77,27,57,28,30,243,40avgm
746,62,171,59,68,66,17,34,59,52,44,89,30,78,23,55,27,33,223,60brtm
747,35,134,32,64,61,13,29,44,45,34,73,28,60,19,53,22,28,185,30avgm
748,47,138,32,58,58,13,30,46,44,35,70,27,63,20,53,22,29,175,40avgm
749,35,128,32,61,61,14,30,43,46,34,73,34,56,19,53,22,29,188,30avgm
750,32,145,37,60,57,14,32,48,45,36,74,27,65,20,55,24,31,181,30avgm
751,36,142,46,80,77,14,32,47,55,35,84,25,61,20,55,25,28,228,30avgm
752,51,164,68,87,82,16,40,54,61,43,95,30,73,22,57,28,33,267,50avgm
753,38,175,80,86,83,18,39,59,61,45,100,34,79,27,59,28,23,283,30avgm
754,39,132,29,59,58,13,27,44,43,33,70,40,61,25,53,21,27,186,30avgm
755,61,131,27,58,57,12,30,44,40,33,66,40,59,27,55,22,24,182,60sqm
756,52,127,24,55,54,11,27,40,37,33,61,40,57,29,51,21,33,173,50avgm
757,33,146,42,72,70,14,30,49,48,36,79,34,65,29,56,26,32,218,30avgm
758,37,134,35,66,63,14,31,45,50,32,75,32,62,24,54,23,25,196,30avgm
759,35,130,28,57,58,14,28,44,40,34,66,30,57,24,55,21,25,173,30avgm
760,32,147,33,59,59,13,29,49,42,37,72,29,69,22,56,20,31,180,30avgm
761,34,177,97,98,95,17,40,62,69,45,111,35,78,25,62,30,24,325,30avgm
762,35,127,24,54,53,12,26,44,38,32,62,39,59,25,50,19,29,170,30avgm
763,38,138,42,77,72,14,32,48,53,36,84,29,62,21,53,23,29,220,30avgm
764,30,135,36,64,63,13,30,50,47,38,75,28,70,21,53,22,33,191,30avgm
765,49,123,21,52,52,12,27,41,34,32,59,29,57,20,52,20,28,154,40avgm
766,49,167,73,86,84,17,40,54,63,42,96,30,69,22,57,29,22,273,40avgm
767,35,158,54,82,73,15,31,54,56,39,91,38,72,29,55,28,28,247,30avgm
768,38,142,38,67,65,13,31,46,48,36,77,32,64,25,54,23,29,202,30avgm
769,36,135,32,63,60,13,30,47,45,35,73,33,62,24,53,22,22,188,30avgm
770,52,124,22,53,53,11,25,40,36,30,63,37,53,27,52,20,28,165,50avgm
771,52,133,31,68,62,12,32,43,48,33,72,35,56,24,55,22,26,196,50avgm
772,56,152,38,63,62,13,31,52,49,35,74,35,69,27,55,27,28,198,50sqm
773,36,152,37,61,58,14,29,51,43,35,74,31,73,26,55,24,23,187,30avgm
774,53,170,70,89,88,16,38,56,57,41,96,44,73,28,57,29,24,291,50avgm
775,43,157,63,93,91,17,38,58,55,41,92,33,73,21,57,24,22,280,40avgm
776,49,162,57,80,77,17,36,55,50,42,88,33,73,19,55,26,27,247,40avgm
777,52,141,31,61,59,13,30,47,40,35,70,42,65,26,52,21,28,193,50avgm
778,24,132,35,70,67,14,30,45,47,34,76,31,62,20,53,20,27,203,20avgm
779,53,132,30,60,57,13,29,44,45,35,69,34,60,21,54,22,32,181,50avgm
780,53,139,43,78,73,14,33,46,53,33,83,38,60,25,55,25,25,232,50avgm
781,61,131,27,54,52,13,28,45,40,31,66,26,59,18,53,21,25,159,60sqm
782,66,131,39,75,73,14,32,42,52,35,80,37,56,28,55,23,25,224,60sqm
783,36,152,50,76,73,15,32,52,52,38,86,35,68,27,55,26,29,234,30avgm
784,38,137,34,61,60,14,31,44,45,36,74,36,60,26,54,24,32,191,30avgm
785,67,145,57,88,86,16,37,49,57,38,91,43,62,29,55,26,22,274,60avgm
786,35,166,70,77,77,16,39,56,60,44,97,39,73,27,56,26,29,263,30avgm
