age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
29,155,49,77,70,16,36,51,52,40,86,39,69,25,55,30,186
37,158,59,81,75,17,34,53,59,36,97,36,69,26,56,29,192
73,157,64,98,94,17,35,55,55,37,99,44,67,26,55,26,236
29,151,44,74,65,16,30,48,49,36,87,46,65,27,54,28,185
19,161,58,80,71,16,32,54,57,37,94,46,75,28,57,28,197
19,168,59,81,74,17,31,57,56,40,95,44,75,26,58,27,199
29,161,50,78,69,16,32,56,52,38,87,41,75,29,56,28,188
38,162,63,85,83,15,34,55,59,40,100,41,72,28,56,27,209
31,152,45,73,65,15,30,49,48,35,85,39,67,25,53,26,177
29,160,57,85,76,16,31,52,55,38,90,37,72,26,56,27,198
38,158,58,85,78,16,34,55,56,37,97,40,70,29,54,27,203
35,157,46,70,62,15,29,49,50,35,85,32,67,26,57,28,164
31,159,52,76,69,15,31,54,52,35,90,39,73,27,56,27,184
19,156,54,83,72,15,32,51,57,39,93,39,70,24,56,29,194
24,154,44,66,59,15,29,50,49,38,86,35,68,28,56,26,160
29,158,48,68,63,16,32,52,51,38,87,33,72,27,59,27,164
33,168,47,70,62,16,29,59,49,40,86,37,80,26,54,27,169
31,156,51,75,70,16,32,51,53,40,89,42,70,29,55,28,187
19,160,50,73,66,15,33,52,53,37,89,42,74,27,56,28,181
29,153,43,66,62,15,33,50,47,36,82,46,67,28,55,27,174
36,158,64,83,79,16,38,52,59,38,96,35,68,26,57,28,197
11,136,32,62,59,14,29,45,46,34,72,36,61,29,53,23,157
34,152,66,88,86,17,34,51,61,40,103,39,66,27,58,25,213
37,160,65,87,82,16,35,55,60,38,107,32,73,22,54,26,201
19,167,66,88,77,17,34,57,60,42,100,34,77,26,55,29,199
34,156,42,74,67,15,29,50,46,36,83,35,69,27,54,26,176
30,157,58,84,77,17,32,52,56,40,96,37,69,29,57,27,198
29,158,63,88,83,16,31,54,59,38,99,36,73,27,55,24,207
34,155,54,79,72,16,31,50,58,37,97,35,69,24,56,28,186
36,157,44,66,61,14,29,53,48,37,83,41,70,29,55,27,168
36,156,47,67,63,15,30,50,51,37,88,49,72,29,54,25,179
33,156,52,79,71,16,32,53,52,39,91,41,71,30,54,28,191
29,159,52,73,69,16,31,53,55,38,93,46,72,29,56,27,188
26,162,48,68,61,16,31,54,52,38,89,43,76,27,55,25,172
32,166,69,90,81,17,36,55,59,40,100,45,73,30,55,30,216
7,120,22,56,53,12,26,39,41,32,60,43,55,27,54,18,152
32,150,44,69,67,15,32,49,49,39,84,33,65,24,57,26,169
37,159,51,70,66,16,32,54,54,41,90,36,72,29,56,29,172
35,156,73,95,92,18,39,52,63,41,102,35,68,27,57,26,222
35,152,48,81,73,15,33,52,51,37,86,29,68,22,56,28,183
33,149,52,80,76,15,32,49,55,37,90,27,65,21,56,26,183
31,153,50,80,74,15,32,48,52,37,88,35,68,29,55,26,189
36,154,54,79,75,16,34,51,54,38,90,26,68,20,56,27,180
37,154,59,88,84,16,34,52,56,39,95,30,69,24,55,26,202
38,157,57,84,81,16,34,53,54,37,94,40,70,28,55,27,205
11,146,43,70,69,15,31,47,51,38,80,45,69,30,54,22,184
19,162,51,78,72,14,32,56,55,36,90,41,78,31,56,26,191
18,157,52,78,70,15,32,52,57,39,93,43,70,32,56,27,191
23,157,54,77,69,15,32,52,57,37,96,42,71,28,58,29,188
23,158,50,72,66,15,31,53,54,36,89,43,69,32,55,27,181
33,150,42,70,66,15,29,49,50,35,84,42,67,28,52,24,178
35,156,58,84,73,17,36,53,57,46,96,47,68,28,56,29,204
32,157,48,70,63,16,30,55,51,37,90,39,71,27,56,28,172
26,150,70,93,88,58,34,51,65,40,105,34,67,30,55,25,215
34,169,53,79,66,16,31,56,51,38,90,38,76,30,56,31,183
